sentence_id,goal,gloss,token_count,tokens_json,source_clips_json,output_video,fps,frame_count,width,height,source_frame_counts_json,grammar_note
sentence_011,詢問工作地點,YOU WORK WHERE,3,"[""you"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64386.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63799.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63081.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_011__you_work_where.mp4,29.97,254,480,320,"[87, 50, 113]",WH 問句把 where 放在句尾。
sentence_012,詢問工作地點,I WORK WHERE,3,"[""i"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28791.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63788.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63084.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_012__i_work_where.mp4,27.99,266,480,320,"[30, 127, 105]",WH 問句把 where 放在句尾。
sentence_013,詢問工作地點,TEACHER WORK WHERE,3,"[""teacher"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\68166.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63801.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63088.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_013__teacher_work_where.mp4,26.65,302,480,320,"[84, 75, 139]",WH 問句把 where 放在句尾。
sentence_014,詢問工作地點,STUDENT WORK WHERE,3,"[""student"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55346.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63081.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_014__student_work_where.mp4,29.97,332,480,320,"[135, 80, 113]",WH 問句把 where 放在句尾。
sentence_015,詢問工作地點,MOTHER WORK WHERE,3,"[""mother"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36927.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63084.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_015__mother_work_where.mp4,28.32,242,480,320,"[53, 80, 105]",WH 問句把 where 放在句尾。
sentence_016,詢問工作地點,FATHER WORK WHERE,3,"[""father"", ""work"", ""where""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21204.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\work\\63790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\where\\63081.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_016__father_work_where.mp4,28.31,280,480,320,"[83, 80, 113]",WH 問句把 where 放在句尾。
sentence_017,行動與方向,MOTHER GO SCHOOL HELP,4,"[""mother"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36936.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24955.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\49602.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\69364.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_017__mother_go_school_help.mp4,29.97,211,480,320,"[38, 60, 32, 75]",依動作順序排列，不補介系詞。
sentence_018,行動與方向,FATHER GO SCHOOL HELP,4,"[""father"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21212.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24947.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\49599.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\27213.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_018__father_go_school_help.mp4,29.98,232,480,320,"[28, 63, 86, 49]",依動作順序排列，不補介系詞。
sentence_019,行動與方向,TEACHER GO SCHOOL HELP,4,"[""teacher"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57041.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24955.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\70207.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\69364.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_019__teacher_go_school_help.mp4,28.74,351,480,320,"[98, 60, 112, 75]",依動作順序排列，不補介系詞。
sentence_020,行動與方向,STUDENT GO SCHOOL HELP,4,"[""student"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\69494.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24941.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\68145.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\69364.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_020__student_go_school_help.mp4,27.48,332,480,320,"[93, 66, 92, 75]",依動作順序排列，不補介系詞。
sentence_021,行動與方向,YOU GO SCHOOL HELP,4,"[""you"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64380.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24954.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\49596.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\27215.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_021__you_go_school_help.mp4,29.97,237,480,320,"[74, 60, 67, 30]",依動作順序排列，不補介系詞。
sentence_022,行動與方向,I GO SCHOOL HELP,4,"[""i"", ""go"", ""school"", ""help""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28791.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\go\\24955.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\school\\69455.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\help\\27216.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_022__i_go_school_help.mp4,29.97,218,480,320,"[30, 60, 69, 53]",依動作順序排列，不補介系詞。
sentence_023,喜好與特徵,FATHER LIKE HOUSE BEAUTIFUL,4,"[""father"", ""like"", ""house"", ""beautiful""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21207.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33280.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\house\\28157.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\beautiful\\05558.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_023__father_like_house_beautiful.mp4,28.73,305,480,320,"[79, 141, 53, 26]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_024,喜好與特徵,MOTHER LIKE HOUSE BEAUTIFUL,4,"[""mother"", ""like"", ""house"", ""beautiful""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36944.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33267.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\house\\28164.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\beautiful\\05562.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_024__mother_like_house_beautiful.mp4,29.97,245,480,320,"[82, 75, 46, 36]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_025,喜好與特徵,YOU LIKE BOOK GOOD,4,"[""you"", ""like"", ""book"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64382.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33268.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\07074.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\69347.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_025__you_like_book_good.mp4,29.98,208,480,320,"[61, 53, 38, 50]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_026,喜好與特徵,I LIKE BOOK GOOD,4,"[""i"", ""like"", ""book"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28790.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33274.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\70266.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25073.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_026__i_like_book_good.mp4,28.73,244,480,320,"[53, 30, 121, 34]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_027,喜好與特徵,YOU LIKE DOG GOOD,4,"[""you"", ""like"", ""dog"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64385.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\69389.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\dog\\17084.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25069.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_027__you_like_dog_good.mp4,27.23,195,480,320,"[51, 59, 58, 21]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_028,喜好與特徵,STUDENT LIKE BOOK GOOD,4,"[""student"", ""like"", ""book"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55338.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33277.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\69241.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25074.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_028__student_like_book_good.mp4,29.97,298,480,320,"[69, 80, 75, 68]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_029,喜好與特徵,FATHER LIKE CAR GOOD,4,"[""father"", ""like"", ""car"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21209.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\68093.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\car\\09246.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25070.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_029__father_like_car_good.mp4,29.99,312,480,320,"[85, 90, 79, 52]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_030,喜好與特徵,MOTHER LIKE CAR GOOD,4,"[""mother"", ""like"", ""car"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36931.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\like\\33270.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\car\\70268.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25073.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_030__mother_like_car_good.mp4,28.73,305,480,320,"[82, 78, 105, 34]",形容詞放在名詞後，保留 ASL gloss 順序。
sentence_031,描述觀察,I SEE DOG BAD,4,"[""i"", ""see"", ""dog"", ""bad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\i\\28557.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50107.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\dog\\17083.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\bad\\04709.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_031__i_see_dog_bad.mp4,26.24,227,480,320,"[23, 70, 62, 66]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_032,描述觀察,YOU SEE DOG BAD,4,"[""you"", ""see"", ""dog"", ""bad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\you\\64380.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50125.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\dog\\17095.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\bad\\04708.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_032__you_see_dog_bad.mp4,28.73,283,480,320,"[74, 28, 104, 71]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_033,描述觀察,TEACHER SEE DOG GOOD,4,"[""teacher"", ""see"", ""dog"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57045.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50125.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\dog\\17095.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25073.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_033__teacher_see_dog_good.mp4,29.97,222,480,320,"[50, 28, 104, 34]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_034,描述觀察,STUDENT SEE CAR BAD,4,"[""student"", ""see"", ""car"", ""bad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55345.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50122.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\car\\70268.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\bad\\04694.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_034__student_see_car_bad.mp4,27.49,317,480,320,"[87, 72, 105, 47]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_035,描述觀察,MOTHER SEE BOOK GOOD,4,"[""mother"", ""see"", ""book"", ""good""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36940.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50107.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\book\\70266.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\good\\25074.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_035__mother_see_book_good.mp4,27.49,336,480,320,"[71, 70, 121, 68]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_036,描述觀察,FATHER SEE DOG BAD,4,"[""father"", ""see"", ""dog"", ""bad""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\father\\21209.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\see\\50122.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\dog\\17083.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\bad\\04713.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_036__father_see_dog_bad.mp4,28.74,304,480,320,"[85, 72, 62, 79]",觀察句保留主詞 + see + 名詞 + 形容詞。
sentence_037,描述狀態,TEACHER HAPPY,2,"[""teacher"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\teacher\\57045.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26525.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_037__teacher_happy.mp4,29.97,107,480,320,"[50, 55]",狀態句省略 be 動詞。
sentence_038,描述狀態,STUDENT TIRED,2,"[""student"", ""tired""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\student\\55344.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\tired\\58588.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_038__student_tired.mp4,27.49,139,480,320,"[50, 87]",狀態句省略 be 動詞。
sentence_039,描述狀態,MOTHER HAPPY,2,"[""mother"", ""happy""]","[""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\mother\\36941.mp4"", ""C:\\Users\\qqq02\\Desktop\\99_docs_analysis\\00_videos_training_30\\happy\\26527.mp4""]",C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_039__mother_happy.mp4,29.99,175,480,320,"[91, 82]",狀態句省略 be 動詞。
