sentence_id,word_index,token,clip_path,source_sentence_video,frame_start,frame_end_exclusive,core_frame_start,core_frame_end_exclusive,fps,frame_count
sentence_003,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_003_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_003__today_student_want_book.mp4,194,278,195,277,27.49,84
sentence_003,4,book,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\book\sentence_003_w04_book.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_003__today_student_want_book.mp4,278,379,279,379,27.49,101
sentence_004,1,tomorrow,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\tomorrow\sentence_004_w01_tomorrow.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_004__tomorrow_i_want_food.mp4,0,80,0,79,26.24,80
sentence_004,2,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_004_w02_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_004__tomorrow_i_want_food.mp4,80,105,81,104,26.24,25
sentence_004,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_004_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_004__tomorrow_i_want_food.mp4,105,157,106,156,26.24,52
sentence_004,4,food,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\food\sentence_004_w04_food.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_004__tomorrow_i_want_food.mp4,157,243,158,243,26.24,86
sentence_005,1,tomorrow,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\tomorrow\sentence_005_w01_tomorrow.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_005__tomorrow_you_want_book.mp4,0,59,0,58,28.73,59
sentence_005,2,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_005_w02_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_005__tomorrow_you_want_book.mp4,59,124,60,123,28.73,65
sentence_005,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_005_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_005__tomorrow_you_want_book.mp4,124,203,125,202,28.73,79
sentence_005,4,book,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\book\sentence_005_w04_book.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_005__tomorrow_you_want_book.mp4,203,304,204,304,28.73,101
sentence_006,1,tomorrow,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\tomorrow\sentence_006_w01_tomorrow.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_006__tomorrow_mother_want_food.mp4,0,38,0,37,27.49,38
sentence_006,2,mother,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\mother\sentence_006_w02_mother.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_006__tomorrow_mother_want_food.mp4,38,123,39,122,27.49,85
sentence_006,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_006_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_006__tomorrow_mother_want_food.mp4,123,200,124,199,27.49,77
sentence_006,4,food,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\food\sentence_006_w04_food.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_006__tomorrow_mother_want_food.mp4,200,275,201,275,27.49,75
sentence_007,1,today,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\today\sentence_007_w01_today.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,0,35,0,34,28.98,35
sentence_007,2,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_007_w02_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,35,100,36,99,28.98,65
sentence_007,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_007_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,100,140,101,139,28.98,40
sentence_007,4,eat,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\eat\sentence_007_w04_eat.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,140,192,141,191,28.98,52
sentence_007,5,what,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\what\sentence_007_w05_what.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_007__today_you_want_eat_what.mp4,192,226,193,226,28.98,34
sentence_008,1,tomorrow,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\tomorrow\sentence_008_w01_tomorrow.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,0,78,0,77,29.97,78
sentence_008,2,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_008_w02_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,78,131,79,130,29.97,53
sentence_008,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_008_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,131,184,132,183,29.97,53
sentence_008,4,eat,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\eat\sentence_008_w04_eat.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,184,236,185,235,29.97,52
sentence_008,5,what,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\what\sentence_008_w05_what.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_008__tomorrow_you_want_eat_what.mp4,236,311,237,311,29.97,75
sentence_009,1,today,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\today\sentence_009_w01_today.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,0,71,0,70,28.99,71
sentence_009,2,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_009_w02_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,71,126,72,125,28.99,55
sentence_009,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_009_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,126,210,127,209,28.99,84
sentence_009,4,eat,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\eat\sentence_009_w04_eat.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,210,299,211,298,28.99,89
sentence_009,5,what,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\what\sentence_009_w05_what.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_009__today_i_want_eat_what.mp4,299,388,300,388,28.99,89
sentence_010,1,tomorrow,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\tomorrow\sentence_010_w01_tomorrow.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,0,91,0,90,28.99,91
sentence_010,2,student,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\student\sentence_010_w02_student.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,91,168,92,167,28.99,77
sentence_010,3,want,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\want\sentence_010_w03_want.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,168,221,169,220,28.99,53
sentence_010,4,eat,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\eat\sentence_010_w04_eat.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,221,273,222,272,28.99,52
sentence_010,5,what,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\what\sentence_010_w05_what.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_010__tomorrow_student_want_eat_what.mp4,273,307,274,307,28.99,34
sentence_011,1,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_011_w01_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_011__you_work_where.mp4,0,88,0,87,29.97,88
sentence_011,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_011_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_011__you_work_where.mp4,88,140,89,139,29.97,52
sentence_011,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_011_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_011__you_work_where.mp4,140,254,141,254,29.97,114
sentence_012,1,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_012_w01_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_012__i_work_where.mp4,0,31,0,30,27.99,31
sentence_012,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_012_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_012__i_work_where.mp4,31,160,32,159,27.99,129
sentence_012,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_012_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_012__i_work_where.mp4,160,266,161,266,27.99,106
sentence_013,1,teacher,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\teacher\sentence_013_w01_teacher.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_013__teacher_work_where.mp4,0,85,0,84,26.65,85
sentence_013,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_013_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_013__teacher_work_where.mp4,85,162,86,161,26.65,77
sentence_013,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_013_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_013__teacher_work_where.mp4,162,302,163,302,26.65,140
sentence_014,1,student,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\student\sentence_014_w01_student.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_014__student_work_where.mp4,0,136,0,135,29.97,136
sentence_014,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_014_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_014__student_work_where.mp4,136,218,137,217,29.97,82
sentence_014,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_014_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_014__student_work_where.mp4,218,332,219,332,29.97,114
sentence_015,1,mother,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\mother\sentence_015_w01_mother.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_015__mother_work_where.mp4,0,54,0,53,28.32,54
sentence_015,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_015_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_015__mother_work_where.mp4,54,136,55,135,28.32,82
sentence_015,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_015_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_015__mother_work_where.mp4,136,242,137,242,28.32,106
sentence_016,1,father,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\father\sentence_016_w01_father.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_016__father_work_where.mp4,0,84,0,83,28.31,84
sentence_016,2,work,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\work\sentence_016_w02_work.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_016__father_work_where.mp4,84,166,85,165,28.31,82
sentence_016,3,where,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\where\sentence_016_w03_where.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_016__father_work_where.mp4,166,280,167,280,28.31,114
sentence_017,1,mother,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\mother\sentence_017_w01_mother.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_017__mother_go_school_help.mp4,0,39,0,38,29.97,39
sentence_017,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_017_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_017__mother_go_school_help.mp4,39,101,40,100,29.97,62
sentence_017,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_017_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_017__mother_go_school_help.mp4,101,135,102,134,29.97,34
sentence_017,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_017_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_017__mother_go_school_help.mp4,135,211,136,211,29.97,76
sentence_018,1,father,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\father\sentence_018_w01_father.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_018__father_go_school_help.mp4,0,29,0,28,29.98,29
sentence_018,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_018_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_018__father_go_school_help.mp4,29,94,30,93,29.98,65
sentence_018,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_018_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_018__father_go_school_help.mp4,94,182,95,181,29.98,88
sentence_018,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_018_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_018__father_go_school_help.mp4,182,232,183,232,29.98,50
sentence_019,1,teacher,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\teacher\sentence_019_w01_teacher.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_019__teacher_go_school_help.mp4,0,99,0,98,28.74,99
sentence_019,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_019_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_019__teacher_go_school_help.mp4,99,161,100,160,28.74,62
sentence_019,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_019_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_019__teacher_go_school_help.mp4,161,275,162,274,28.74,114
sentence_019,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_019_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_019__teacher_go_school_help.mp4,275,351,276,351,28.74,76
sentence_020,1,student,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\student\sentence_020_w01_student.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_020__student_go_school_help.mp4,0,94,0,93,27.48,94
sentence_020,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_020_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_020__student_go_school_help.mp4,94,162,95,161,27.48,68
sentence_020,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_020_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_020__student_go_school_help.mp4,162,256,163,255,27.48,94
sentence_020,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_020_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_020__student_go_school_help.mp4,256,332,257,332,27.48,76
sentence_021,1,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_021_w01_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_021__you_go_school_help.mp4,0,75,0,74,29.97,75
sentence_021,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_021_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_021__you_go_school_help.mp4,75,137,76,136,29.97,62
sentence_021,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_021_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_021__you_go_school_help.mp4,137,206,138,205,29.97,69
sentence_021,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_021_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_021__you_go_school_help.mp4,206,237,207,237,29.97,31
sentence_022,1,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_022_w01_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_022__i_go_school_help.mp4,0,31,0,30,29.97,31
sentence_022,2,go,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\go\sentence_022_w02_go.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_022__i_go_school_help.mp4,31,93,32,92,29.97,62
sentence_022,3,school,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\school\sentence_022_w03_school.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_022__i_go_school_help.mp4,93,164,94,163,29.97,71
sentence_022,4,help,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\help\sentence_022_w04_help.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_022__i_go_school_help.mp4,164,218,165,218,29.97,54
sentence_023,1,father,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\father\sentence_023_w01_father.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_023__father_like_house_beautiful.mp4,0,80,0,79,28.73,80
sentence_023,2,like,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\like\sentence_023_w02_like.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_023__father_like_house_beautiful.mp4,80,223,81,222,28.73,143
sentence_023,3,house,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\house\sentence_023_w03_house.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_023__father_like_house_beautiful.mp4,223,278,224,277,28.73,55
sentence_023,4,beautiful,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\beautiful\sentence_023_w04_beautiful.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_023__father_like_house_beautiful.mp4,278,305,279,305,28.73,27
sentence_024,1,mother,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\mother\sentence_024_w01_mother.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_024__mother_like_house_beautiful.mp4,0,83,0,82,29.97,83
sentence_024,2,like,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\like\sentence_024_w02_like.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_024__mother_like_house_beautiful.mp4,83,160,84,159,29.97,77
sentence_024,3,house,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\house\sentence_024_w03_house.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_024__mother_like_house_beautiful.mp4,160,208,161,207,29.97,48
sentence_024,4,beautiful,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\beautiful\sentence_024_w04_beautiful.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_024__mother_like_house_beautiful.mp4,208,245,209,245,29.97,37
sentence_025,1,you,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\you\sentence_025_w01_you.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_025__you_like_book_good.mp4,0,62,0,61,29.98,62
sentence_025,2,like,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\like\sentence_025_w02_like.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_025__you_like_book_good.mp4,62,117,63,116,29.98,55
sentence_025,3,book,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\book\sentence_025_w03_book.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_025__you_like_book_good.mp4,117,157,118,156,29.98,40
sentence_025,4,good,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\good\sentence_025_w04_good.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_025__you_like_book_good.mp4,157,208,158,208,29.98,51
sentence_026,1,i,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\i\sentence_026_w01_i.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_026__i_like_book_good.mp4,0,54,0,53,28.73,54
sentence_026,2,like,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\like\sentence_026_w02_like.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_026__i_like_book_good.mp4,54,86,55,85,28.73,32
sentence_026,3,book,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\book\sentence_026_w03_book.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_026__i_like_book_good.mp4,86,209,87,208,28.73,123
sentence_026,4,good,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_word_segments_50\good\sentence_026_w04_good.mp4,C:\Users\qqq02\Desktop\99_docs_analysis\00_sentence_videos_50\sentence_026__i_like_book_good.mp4,209,244,210,244,28.73,35
